cod-ga,program,subtitle,type_course,name_type_course,state,start,end,duration,hours,price,cand_fee,format,ceus,idioma,languaje,dscto_header,dscto_footer,end_dscto,hubs,round_1,round_2,round_3,price_r1,price_r2,price_r2,call,brochure,url_pay,img_home,url_web,url_landing,cod_pay,holiday
CPM,Product Management,,pcp,Professional Certificate,A,25/4/2023,,9  months,8-10 hours of effort per week,"US$13,400 *",US$150,Online,25.6,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog best_prog  des_man    lead_com  ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-cpm-eng ,https://cta-redirect.hubspot.com/cta/redirect/3391024/c3578e32-10af-4922-8702-817e814c5d88,https://professionalprogramsmit.com/en/begin-the-admissions-process-professional-certificate.html,/images/programs/pcp/cpm/home-pcp-digital-transformation-cpm-768x339.webp,/professional-certificate-program-product-management/,https://professionalprogramsmit.com/en/professional-certificate-program-product-management-cpm-eng.html,-,
CTR,Strategic Technology Roadmapping and Innovation,,pcp,Professional Certificate,A,6/7/2023,,9 months,8-10 hours of effort per week,"US$13,400 *",US$150,Online,27.6,English,en-US,*Enroll now with a 15% discount. Only until  XXX,Benefit from 15% off early enrollment registration,5/4/2023,all_prog   des_man    lead_com  ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-ctr-eng ,https://cta-redirect.hubspot.com/cta/redirect/3391024/2cef38f0-247b-485f-a77d-e915a4ce025f,https://professionalprogramsmit.com/en/begin-the-admissions-process-professional-certificate.html,/images/programs/pcp/ctr/home-pcp-strategic-technology-roadmapping-and-innovation-ctr-768x339.webp,/professional-certificate-program-strategic-technology-roadmapping-and-innovation/,https://professionalprogramsmit.com/en/professional-certificate-program-strategic-technology-roadmapping-innovation-ctr-eng.html,-,
CSM,Sustainability,,pcp,Professional Certificate,A,25/4/2023,, 12 months,8-10 hours of effort per week,"US$13,400 *",US$150,Online,43.2,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog     ene_sus  lead_com  ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-csm-eng ,https://cta-redirect.hubspot.com/cta/redirect/3391024/12997c97-f85e-40f1-91f9-dc43a7ce5652,https://professionalprogramsmit.com/en/begin-the-admissions-process-professional-certificate.html,/images/programs/pcp/csm/home-pcp-sustainability-csm-768x339.webp,/professional-certificate-program-in-sustainability/,https://professionalprogramsmit.com/en/professional-certificate-program-in-sustainability-csm-eng.html,-,
COD-GA,BUNDLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMT,Management of Technology,,dual,,B,25/4/2023,29/8/2023,18 weeks,8-10 hours of effort per week,"US$5,220 *",,Online,14.4,English,en-US,*Enroll now with a 20% discount. Only until  XXX,Benefit from 20% off early enrollment registration,10/4/2023,all_prog   des_man     tech ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-bmt-eng ,https://cta-redirect.hubspot.com/cta/redirect/3391024/cc70c678-dbd6-421c-92eb-dbc7612ec1d7,https://professionalprogramsmit.com/gateway/en/147/runway/order,https://professionalprograms.mit.edu/wp-content/uploads/home_bundle-mot_thumb_768x339.jpg,-,https://professionalprogramsmit.com/en/bundle-program-management-of-technology-bmt-eng.html,147,
COD-GA,CORPORATE TRAINING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDT,Leading Digital Transformation,,ctp,,N/A,25/4/2023,25/4/2023,5-6 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,6.4,English and Spanish,en-US,*Enroll now with a 15% discount. Only until  XXX,Benefit from 15% off early enrollment registration,4/4/2023,       ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-ldt-eng,,https://professionalprogramsmit.com/gateway/en/---/runway/order,/images/programs/op/ldt/home-op-leading-digital-transformation-ldt-768x339.webp,/online-course-leading-digital-transformation/,,---,
COD-GA,COURSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTI,Forecasting Technology Innovation,Using Data for a Strategic Advantage,op,Online Program,A,25/4/2023,13/6/2023,8 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,7.2,English,en-US,*Sign up now and receive 10% off before XXX,Obtain 10% off for early enrollment,11/4/2023,all_prog best_prog new_prog    inno  tech ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-ftid-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/b1d32c93-2450-4912-9700-3f2213068125,https://professionalprogramsmit.com/gateway/en/158/runway/order,/images/programs/op/fti/home-op-forecasting-technology-innovation-fti-768x339.webp,/online-program-forecasting-technology-innovation/,https://professionalprogramsmit.com/en/online-program-forecasting-technology-innovation-fti-eng.html,158,
TLD,Transformational Leadership,Five Practices of High Impact Innovators,op,Online Program,A,3/10/2023,28/11/2023,8 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,7.2,English,en-US,*Enroll now and live the MIT Experience,Register now and boost your professional trajectory,4/4/2023,all_prog best_prog new_prog     lead_com  ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-tld-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/ede7b2d5-7ecb-46dd-971f-49e6791c4216,https://professionalprogramsmit.com/gateway/en/119/runway/order,/images/programs/op/tld/home-op-transformational-leadership-tld-768x339.webp,/online-program-transformational-leadership/,https://professionalprogramsmit.com/en/online-program-transformational-leadership-tld-eng.html,119,
WIL,Women in Leadership: Becoming an Agent of Change,,op,Online Program,A,25/4/2023,4/7/2023,10 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,8,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog best_prog new_prog     lead_com  ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-wil-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/eb9eb133-25b3-4c95-a51f-3083fe4a0ee9,https://professionalprogramsmit.com/gateway/en/149/runway/order,/images/programs/op/wil/home-op-women-in-leadership-wil-768x339.webp,/online-program-women-in-leadership/,https://professionalprogramsmit.com/en/online-program-women-in-leadership-wil-eng.html,149,
BLC,Blockchain:,Disruptive Technology,op,Online Program,A,25/4/2023,20/6/2023,8 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,6.4,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog best_prog   digi_tra    tech ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-blc-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/3f856ead-a164-4dc2-8833-10ed6faa2ce2,https://professionalprogramsmit.com/gateway/en/54/runway/order,/images/programs/op/blc/home-op-blockchain-blc-768x339.webp,/online-program-blockchain-disruptive-technology/,https://professionalprogramsmit.com/en/online-program-blockchain-blc-eng.html,54,
CIE,Circular Economy:,Transition for Future Sustainability,op,Online Program,A,25/4/2023,27/6/2023,9 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,7.2,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog best_prog    ene_sus    ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-cie-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/7a41ff74-833b-43f3-8c65-bff4eb2865fa,https://professionalprogramsmit.com/gateway/en/111/runway/order,/images/programs/op/cie/home-op-circular-economy-cie-768x339.webp,/online-program-circular-economy,https://professionalprogramsmit.com/en/online-program-circular-economy-transition-for-future-sustainability-cie-eng.html,111,
CEN,Clean Energy Solutions:,Technological Change to Meet Emissions Reduction Targets,op,Online Program,A,25/4/2023,20/6/2023,8 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,7.2,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog best_prog    ene_sus    ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-cen-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/b39f7dfd-098f-4cd2-ab37-4df59bfab043,https://professionalprogramsmit.com/gateway/en/115/runway/order,/images/programs/op/cen/home-op-clean-energy-solutions-cen-768x339.webp,/online-program-clean-energy-solutions/,https://professionalprogramsmit.com/en/online-program-clean-energy-solutions-cen-eng.html,115,
CD,Cloud & DevOps:,Continuous Transformation,op,Online Program,A,25/4/2023,20/6/2023,8 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,7.8,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog    digi_tra    tech ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-cd-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/549d2ee2-3d8d-4f43-a53d-633f726330de,https://professionalprogramsmit.com/gateway/en/60/runway/order,/images/programs/op/cd/home-op-cloud-and-devops-cd-768x339.webp,/online-program-cloud-devops-continuous-transformation/,https://professionalprogramsmit.com/en/online-program-cloud-and-devops-cd-eng.html,60,
BCA,Cultural Awareness,for Global Business,op,Online Program,A,25/4/2023,30/5/2023,5 weeks,4 hours of effort per week,US$950 *,,Online,2,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog best_prog      lead_com  ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-bca-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/695cf6d6-bf6e-4d69-a95b-06d536ad6e7e,https://professionalprogramsmit.com/gateway/en/109/runway/order,/images/programs/op/bca/home-op-cultural-awareness-bca-768x339.webp,/online-program-in-cultural-awareness-for-global-business/,https://professionalprogramsmit.com/en/online-program-cultural-awareness-bca-eng.html,109,
DAT,Data Leadership,"Transforming the Corporation’s Operations, Management, and Mindset to Leverage Data, AI, and Cloud Computing",op,Online Program,A,25/4/2023,20/6/2023,8 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,6.4,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog best_prog   digi_tra    tech ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-dat-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/c9327e61-c08f-4eef-a4f9-3374123cd9eb,https://professionalprogramsmit.com/gateway/en/125/runway/order,/images/programs/op/dat/home-op-data-leadership-dat-768x339.webp,/online-program-data-leadership/,https://professionalprogramsmit.com/en/online-program-data-leadership-dat-eng.html,125,
DIF,Designing High-Impact Solutions with MITdesignX,,op,Online Program,A,6/7/2023,31/8/2023,8 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,6.4,English,en-US,*Enroll now with a 15% discount. Only until  XXX,Benefit from 15% off early enrollment registration,4/4/2023,all_prog best_prog     inno   ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-dif-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/19c06a10-cee7-4118-b5a9-b05685b599d5,https://professionalprogramsmit.com/gateway/en/103/runway/order,/images/programs/op/dif/home-op-designing-high-impact-solutions-dif-768x339.webp,/online-program-designing-impactful-solutions/,https://professionalprogramsmit.com/en/online-program-designing-high-impact-solutions-dif-eng.html,103,
DPF,Designing Product Families:,From Strategy to Implementation,op,Online Program,A,6/7/2023,31/8/2023,8 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,6.4,English,en-US,*Enroll now with a 15% discount. Only until  XXX,Benefit from 15% off early enrollment registration,4/4/2023,all_prog   des_man      ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-dpf-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/4712cdc2-53ed-4e17-b191-74055d68de4d,https://professionalprogramsmit.com/gateway/en/98/runway/order,/images/programs/op/dpf/home-op-designing-product-families-dpf-768x339.webp,/online-program-designing-product-families-from-strategy-to-implementation/,https://professionalprogramsmit.com/en/online-program-designing-product-families-dpf-eng.html,98,
TSM,Digital Platforms,Designing Two-Sided Markets from APIs to Feature Roadmaps,op,Online Program,A,25/4/2023,20/6/2023,8 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,6.4,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog best_prog     inno  tech ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-tsm-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/843cdfd4-e32f-4ad1-84f3-f10b26da8766,https://professionalprogramsmit.com/gateway/en/107/runway/order,/images/programs/op/tsm/home-op-digital-platforms-tsm-768x339.webp,/online-program-digital-platforms/,https://professionalprogramsmit.com/en/online-program-digital-platforms-tsm-eng.html,107,
DTR,Digital Transformation: ,"From AI and IoT to Cloud, Blockchain, and Cybersecurity",op,Online Program,A,25/4/2023,20/6/2023,8 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,7,English,en-US,*Sign up before XXX and receive 5% off!,Register now! Receive 5% off for a limited time only,11/4/2023,all_prog    digi_tra  inno  tech ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-dtr-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/c3fc0c31-12da-415f-9837-fea4b92ac334,https://professionalprogramsmit.com/gateway/en/77/runway/order,/images/programs/op/dtr/home-op-digital-transformation-dtr-768x339.webp,/online-program-digital-transformation/,https://professionalprogramsmit.com/en/online-program-digital-transformation-dtr-eng.html,77,
IOT,Industrial Internet of Things:,From Theory to Applications,op,Online Program,A,6/7/2023,7/9/2023,9 weeks,8-10 hours of effort per week,"US$2,900 *",,Online,7.2,English,en-US,*Enroll now with a 15% discount. Only until  XXX,Benefit from 15% off early enrollment registration,4/4/2023,all_prog   des_man     tech ,,,,,,,https://meetings.hubspot.com/marketing-ga/mpe-iot-eng,https://cta-redirect.hubspot.com/cta/redirect/3391024/db2a39bc-aa3b-4834-b973-ade55c93ac43,https://professionalprogramsmit.com/gateway/en/101/runway/order,/images/programs/op/iot/home-op-industrial-internet-of-things-iot-768x339.webp,/online-program-internet-of-things/,https://professionalprogramsmit.com/en/online-program-industrial-internet-of-things-iot-eng.html,101,
